time 2,time 1,delay,,delay 2,delay 1,,jitter,,
20.428209,20.392631,0.035578,,0.035578,-0.035578,,0.071156,,
20.428209,20.428209,0,,0,0,,0,,
20.428625,20.428209,0.000416,,0.000416,-0.000416,,0.000832,,
20.428806,20.428625,0.000181,,0.000181,-0.000181,,0.000362,,
20.42945,20.428806,0.000644,,0.000644,-0.000644,,0.001288,,
20.42945,20.42945,0,,0,0,,0,,
20.429524,20.42945,7.4E-05,,7.4E-05,-7.4E-05,,0.000148,,
20.434593,20.429524,0.005069,,0.005069,-0.005069,,0.010138,,
20.63411,20.434593,0.199517,,0.199517,-0.199517,,0.399034,,
20.63411,20.63411,0,,0,0,,0,,
20.634215,20.63411,0.000105,,0.000105,-0.000105,,0.00021,,
20.634215,20.634215,0,,0,0,,0,,
20.634215,20.634215,0,,0,0,,0,,
20.634215,20.634215,0,,0,0,,0,,
20.634215,20.634215,0,,0,0,,0,,
20.634215,20.634215,0,,0,0,,0,,
20.634889,20.634215,0.000674,,0.000674,-0.000674,,0.001348,,
20.635109,20.634889,0.00022,,0.00022,-0.00022,,0.00044,,
21.028397,20.635109,0.393288,,0.393288,-0.393288,,0.786576,,
21.028805,21.028397,0.000408,,0.000408,-0.000408,,0.000816,,
21.029404,21.028805,0.000599,,0.000599,-0.000599,,0.001198,,
21.029404,21.029404,0,,0,0,,0,,
21.029404,21.029404,0,,0,0,,0,,
21.029491,21.029404,8.7E-05,,8.7E-05,-8.7E-05,,0.000174,,
21.073025,21.029491,0.043534,,0.043534,-0.043534,,0.087068,,
21.440073,21.073025,0.367048,,0.367048,-0.367048,,0.734096,,
21.440073,21.440073,0,,0,0,,0,,
21.440123,21.440073,5E-05,,5E-05,-5E-05,,1E-04,,
21.450708,21.440123,0.010585,,0.010585,-0.010585,,0.02117,,
21.839133,21.450708,0.388425,,0.388425,-0.388425,,0.77685,,
22.610539,21.839133,0.771406,,0.771406,-0.771406,,1.542812,,
22.62155,22.610539,0.011011,,0.011011,-0.011011,,0.022022,,
22.74148,22.62155,0.11993,,0.11993,-0.11993,,0.23986,,
22.800983,22.74148,0.059503,,0.059503,-0.059503,,0.119006,,
22.949844,22.800983,0.148861,,0.148861,-0.148861,,0.297722,,
22.949844,22.949844,0,,0,0,,0,,
22.949844,22.949844,0,,0,0,,0,,
22.960216,22.949844,0.010372,,0.010372,-0.010372,,0.020744,,
22.994091,22.960216,0.033875,,0.033875,-0.033875,,0.06775,,
23.277486,22.994091,0.283395,,0.283395,-0.283395,,0.56679,,
23.277571,23.277486,8.5E-05,,8.5E-05,-8.5E-05,,0.00017,,
23.278272,23.277571,0.000701,,0.000701,-0.000701,,0.001402,,
23.454534,23.278272,0.176262,,0.176262,-0.176262,,0.352524,,
23.464705,23.454534,0.010171,,0.010171,-0.010171,,0.020342,,
23.587707,23.464705,0.123002,,0.123002,-0.123002,,0.246004,,
23.587746,23.587707,3.9E-05,,3.9E-05,-3.9E-05,,7.8E-05,,
23.665668,23.587746,0.077922,,0.077922,-0.077922,,0.155844,,
23.868776,23.665668,0.203108,,0.203108,-0.203108,,0.406216,,
23.868904,23.868776,0.000128,,0.000128,-0.000128,,0.000256,,
23.868904,23.868904,0,,0,0,,0,,
23.868904,23.868904,0,,0,0,,0,,
23.913518,23.868904,0.044614,,0.044614,-0.044614,,0.089228,,
25.078252,23.913518,1.164734,,1.164734,-1.164734,,2.329468,,
25.078252,25.078252,0,,0,0,,0,,
25.078306,25.078252,5.4E-05,,5.4E-05,-5.4E-05,,0.000108,,
25.089703,25.078306,0.011397,,0.011397,-0.011397,,0.022794,,
25.320362,25.089703,0.230659,,0.230659,-0.230659,,0.461318,,
25.320469,25.320362,0.000107,,0.000107,-0.000107,,0.000214,,
